珠江酒店1,#genre#
广东珠江BM-1,http://219.159.194.22:8686/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5BM-2,http://219.159.194.22:8686/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CHC高清电影BM-3,http://219.159.194.22:8686/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视BM-4,http://219.159.194.22:8686/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
8戏曲BM-5,http://219.159.194.22:8686/tsfile/live/0150_1.m3u8?key=txiptv&playlive=1&authid=0
S影院BM-6,http://219.159.194.22:8686/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CMCCBM-7,http://219.159.194.22:8686/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
奥林匹克BM-8,http://219.159.194.22:8686/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
中国天气BM-9,http://219.159.194.22:8686/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
BM-11,http://219.159.194.22:8686/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
岭南戏曲BM-12,http://219.159.194.22:8686/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视W,http://219.159.194.22:8686/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
佳佳卡通W,http://219.159.194.22:8686/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视W,http://219.159.194.22:8686/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视 W,http://219.159.194.22:8686/tsfile/live/1075_1.m3u8?key=txiptv&playlive=1&authid=0
哈哈卡通W,http://219.159.194.22:8686/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通高清X,http://219.159.194.22:8686/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视W,http://219.159.194.22:8686/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视W,http://219.159.194.22:8686/tsfile/live/1093_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视W,http://219.159.194.22:8686/tsfile/live/1094_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通W,http://219.159.194.22:8686/tsfile/live/1096_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视-高清KJ,http://219.159.194.22:8686/tsfile/live/faacts/1102_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视-高清KJ,http://219.159.194.22:8686/tsfile/live/faacts/1103_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视-高清KJ,http://219.159.194.22:8686/tsfile/live/faacts/1104_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视-高清KJ,http://219.159.194.22:8686/tsfile/live/faacts/1105_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视-高清KJ,http://219.159.194.22:8686/tsfile/live/faacts/1106_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视-高清KJ,http://219.159.194.22:8686/tsfile/live/faacts/1108_1.m3u8?key=txiptv&playlive=1&authid=0
网络棋牌-付费,http://219.159.194.22:8686/tsfile/live/1109_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院KJ,http://219.159.194.22:8686/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&authid=0
新动漫-付费,http://219.159.194.22:8686/tsfile/live/1112_1.m3u8?key=txiptv&playlive=1&authid=0
中华特产-付费,http://219.159.194.22:8686/tsfile/live/1113_1.m3u8?key=txiptv&playlive=1&authid=0
先锋乒羽-付费,http://219.159.194.22:8686/tsfile/live/1114_1.m3u8?key=txiptv&playlive=1&authid=0
天元围棋-付费,http://219.159.194.22:8686/tsfile/live/1116_1.m3u8?key=txiptv&playlive=1&authid=0
收藏天下-付费,http://219.159.194.22:8686/tsfile/live/1117_1.m3u8?key=txiptv&playlive=1&authid=0
优优宝贝-付费,http://219.159.194.22:8686/tsfile/live/1118_1.m3u8?key=txiptv&playlive=1&authid=0
武术世界,http://219.159.194.22:8686/tsfile/live/1119_1.m3u8?key=txiptv&playlive=1&authid=0
生态环境-付费,http://219.159.194.22:8686/tsfile/live/1120_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影KJ,http://219.159.194.22:8686/tsfile/live/1121_1.m3u8?key=txiptv&playlive=1&authid=0
摄影-付费,http://219.159.194.22:8686/tsfile/live/1122_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2W备用,http://219.159.194.22:8686/tsfile/live/1088_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4W备用,http://219.159.194.22:8686/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15W备用,http://219.159.194.22:8686/tsfile/live/1095_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10W备用,http://219.159.194.22:8686/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江备用,http://219.159.194.22:8686/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://219.159.194.22:8686/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视高清,http://219.159.194.22:8686/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视高清,http://219.159.194.22:8686/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实高清,http://219.159.194.22:8686/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
中国教育4套x,http://219.159.194.22:8686/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
精彩影视x,http://219.159.194.22:8686/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
求索记录x,http://219.159.194.22:8686/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
爱大剧x,http://219.159.194.22:8686/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
爱电影x,http://219.159.194.22:8686/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
全纪实,http://219.159.194.22:8686/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://219.159.194.22:8686/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
少儿动画,http://219.159.194.22:8686/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://219.159.194.22:8686/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
热播剧场,http://219.159.194.22:8686/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视高清,http://219.159.194.22:8686/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
广东荔湾区,http://219.159.194.22:8686/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0



湖南酒店,#genre#
CCTV1-综合,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://222.240.82.92:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://222.240.82.92:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://222.240.82.92:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://222.240.82.92:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://222.240.82.92:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://222.240.82.92:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://222.240.82.92:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://222.240.82.92:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://222.240.82.92:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://222.240.82.92:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://222.240.82.92:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://222.240.82.92:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://222.240.82.92:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南经视,http://222.240.82.92:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://222.240.82.92:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://222.240.82.92:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://222.240.82.92:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://222.240.82.92:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://222.240.82.92:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://222.240.82.92:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://222.240.82.92:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://222.240.82.92:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://222.240.82.92:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://222.240.82.92:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://222.240.82.92:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://222.240.82.92:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://222.240.82.92:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通高清,http://222.240.82.92:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://222.240.82.92:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
潇湘电影高清,http://222.240.82.92:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
长沙新闻高清,http://222.240.82.92:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://222.240.82.92:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
长沙政法,http://222.240.82.92:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
长沙女性,http://222.240.82.92:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://222.240.82.92:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
湖南教育,http://222.240.82.92:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://222.240.82.92:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐,http://222.240.82.92:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://222.240.82.92:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://222.240.82.92:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://222.240.82.92:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://222.240.82.92:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://222.240.82.92:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
湖南公共,http://222.240.82.92:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://222.240.82.92:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://222.240.82.92:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://222.240.82.92:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://222.240.82.92:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://222.240.82.92:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://222.244.113.235:808/hls/1/index.m3u8
湖南经视,http://222.244.113.235:808/hls/2/index.m3u8
湖南都市,http://222.244.113.235:808/hls/3/index.m3u8
湖南电视剧,http://222.244.113.235:808/hls/4/index.m3u8
潇湘电影,http://222.244.113.235:808/hls/5/index.m3u8
金鹰卡通,http://222.244.113.235:808/hls/6/index.m3u8
湖南娱乐,http://222.244.113.235:808/hls/7/index.m3u8
金鹰纪实,http://222.244.113.235:808/hls/9/index.m3u8
湖南公共,http://222.244.113.235:808/hls/10/index.m3u8
湖南国际,http://222.244.113.235:808/hls/11/index.m3u8
长沙新闻,http://222.244.113.235:808/hls/13/index.m3u8
长沙政法,http://222.244.113.235:808/hls/14/index.m3u8
湖南教育,http://222.244.113.235:808/hls/15/index.m3u8
长沙女性,http://222.244.113.235:808/hls/16/index.m3u8
长沙经贸,http://222.244.113.235:808/hls/17/index.m3u8
CCTV+1,http://222.244.113.235:808/hls/18/index.m3u8
CCTV+2,http://222.244.113.235:808/hls/19/index.m3u8
CCTV+3,http://222.244.113.235:808/hls/20/index.m3u8
CCTV+4,http://222.244.113.235:808/hls/21/index.m3u8
CCTV+5,http://222.244.113.235:808/hls/22/index.m3u8
CCTV+6,http://222.244.113.235:808/hls/23/index.m3u8
CCTV+7,http://222.244.113.235:808/hls/24/index.m3u8
CCTV+8,http://222.244.113.235:808/hls/25/index.m3u8
CCTV+9,http://222.244.113.235:808/hls/26/index.m3u8
CCTV+10,http://222.244.113.235:808/hls/27/index.m3u8
CCTV+11,http://222.244.113.235:808/hls/28/index.m3u8
CCTV+13,http://222.244.113.235:808/hls/30/index.m3u8
CCTV+14,http://222.244.113.235:808/hls/31/index.m3u8
东方卫视,http://222.244.113.235:808/hls/52/index.m3u8



安徽酒店,#genre#
CCTV1-综合,http://117.71.50.79:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://117.71.50.79:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://117.71.50.79:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://117.71.50.79:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://117.71.50.79:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://117.71.50.79:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://117.71.50.79:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://117.71.50.79:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://117.71.50.79:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://117.71.50.79:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://117.71.50.79:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://117.71.50.79:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://117.71.50.79:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://117.71.50.79:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://117.71.50.79:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://117.71.50.79:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://117.71.50.79:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://117.71.50.79:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://117.71.50.79:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://117.71.50.79:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://117.71.50.79:9901/tsfile/live/0122_2.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://117.71.50.79:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://117.71.50.79:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://117.71.50.79:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://117.71.50.79:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://117.71.50.79:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://117.71.50.79:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://117.71.50.79:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://117.71.50.79:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://117.71.50.79:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://117.71.50.79:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://117.71.50.79:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://117.71.50.79:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://117.71.50.79:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://117.71.50.79:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://117.71.50.79:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://117.71.50.79:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://117.71.50.79:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://117.71.50.79:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
安徽科教,http://117.71.50.79:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
安徽影视,http://117.71.50.79:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
安徽公共,http://117.71.50.79:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
安徽综艺,http://117.71.50.79:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
合肥新闻,http://117.71.50.79:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
安徽经济,http://117.71.50.79:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://117.71.50.79:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://117.71.50.79:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷卡通,http://117.71.50.79:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0


广东酒店,#genre#
CCTV1-综合,http://36.36.200.212:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://36.36.200.212:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://36.36.200.212:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4-国际,http://36.36.200.212:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5-体育,http://36.36.200.212:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+体育赛事,http://36.36.200.212:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6-电影,http://36.36.200.212:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7-军农,http://36.36.200.212:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8-电视剧,http://36.36.200.212:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9-纪录,http://36.36.200.212:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10-科教,http://36.36.200.212:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11-戏曲,http://36.36.200.212:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12-社会与法,http://36.36.200.212:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13-新闻,http://36.36.200.212:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14-少儿,http://36.36.200.212:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15-音乐,http://36.36.200.212:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CGTN,http://36.36.200.212:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://36.36.200.212:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
深圳都市,http://36.36.200.212:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
深圳电视剧,http://36.36.200.212:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
深圳公共,http://36.36.200.212:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
天威TVG,http://36.36.200.212:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
深圳财经生活,http://36.36.200.212:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
Channel [V],http://36.36.200.212:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
翡翠台,http://36.36.200.212:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
明珠台,http://36.36.200.212:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
凤凰卫视中文台,http://36.36.200.212:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://36.36.200.212:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
广东体育,http://36.36.200.212:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
广东公共,http://36.36.200.212:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
广东新闻,http://36.36.200.212:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
南方卫视,http://36.36.200.212:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://36.36.200.212:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://36.36.200.212:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://36.36.200.212:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://36.36.200.212:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
